vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
490,1921.862219,467,352366.278,113,0,354,267305.2493,320,34,183.3462745,169.706593,6000,11180.72201,1.317964632,125.4469016
493,2459.959833,696,521109.0844,188,0,508,378626.6269,504,4,211.83642,210.4137863,6000,15107.05086,0.492362858,152.4931424
496,2911.160198,810,608028.9813,208,0,602,454048.7624,592,10,208.8613954,206.5429754,6000,15133.1479,0.336569324,153.649899
499,2502.337571,762,569424.8395,136,0,626,466794.8599,575,51,227.5571633,212.1162272,6000,15566.16482,0.741332719,171.1025843
502,2797.859603,806,609454.0106,330,0,476,359508.2475,473,3,217.8286609,216.8903989,6000,12661.75031,0.338780044,127.5557651
505,2078.237162,441,325325.8595,161,0,280,206985.0137,280,0,156.5393332,156.5393332,6000,9959.643561,0.448313449,99.59643561
508,1070.577619,261,191983.0779,102,0,159,117062.0237,60,99,179.3266312,110.6891699,6000,-2793.018967,6.092620595,40.70727156
511,2465.494988,703,531279.9947,216,0,487,367629.3239,482,5,215.4861386,213.7997248,6000,14573.69153,0.446543306,147.4233291
514,1630.761694,386,292699.2852,114,0,272,205161.811,203,69,179.4862403,147.2143288,6000,6126.352938,2.519818464,93.53544086
517,1850.104925,559,416468.3233,187,0,372,276291.0391,296,76,225.1052455,194.055821,6000,8723.91888,1.745992706,118.2886133
520,2260.397485,642,481987.0646,268,0,374,280458.017,374,0,213.2311099,213.2311099,6000,12407.46457,0.340395851,124.0746457
523,1476.963311,353,268474.9849,94,0,259,198921.2917,177,82,181.7749858,139.1138574,6000,4936.036546,3.066118461,92.02149385
526,1988.349975,626,463551.9005,154,0,472,348716.8009,409,63,233.1339585,210.3682261,6000,12984.85263,1.154783913,152.6142587
529,1438.876192,463,348378.9456,129,0,334,251629.3252,253,81,242.1187781,200.445298,6000,9153.210613,2.819821531,133.2055863
532,2056.974045,646,486616.8009,267,0,379,288337.951,374,5,236.569247,234.9332666,6000,13690.38238,0.56637342,138.5398043
